Id|Array ID|Date In|Date Out|Version Label|Status|Days in Step|Days in Step + Status
64|1|2023-04-11 11:13:00|2023-04-17 14:13:00|3|Issue Engagement|6|6 - Issue Engagement
64|2|2023-04-17 14:13:00||4|Pending Closure|471|471 - Pending Closure
65|1|2023-07-07 13:25:00|2023-07-26 13:25:00|2|Intake|19|19 - Intake
65|2|2023-07-26 13:25:00||5|Duplicate/Related To|371|371 - Duplicate/Related To
66|1|2024-07-11 16:32:00|2024-07-31 23:59:59|5|Closed|20|20 - Closed
66|2|2024-07-31 23:59:59||13|Deleted/Error|0|0 - Deleted/Error
67|1|2024-03-22 12:09:00||3|Issue Engagement|131|131 - Issue Engagement
68|1|2022-05-07 14:53:00|2022-06-12 15:53:00|6|Monitored|36|36 - Monitored
68|2|2022-06-12 15:53:00|2022-06-23 02:53:00|16|Issue Engagement|10|10 - Issue Engagement
68|3|2022-06-23 02:53:00||26|Deleted/Error|769|769 - Deleted/Error
69|1|2023-09-02 14:48:00|2023-09-19 19:48:00|7|Duplicate/Related To|17|17 - Duplicate/Related To
69|2|2023-09-19 19:48:00||15|Deleted/Error|316|316 - Deleted/Error
70|1|2022-06-06 15:30:00|2022-06-24 23:30:00|5|Monitored|18|18 - Monitored
70|2|2022-06-24 23:30:00|2022-08-08 11:30:00|17|Closed|44|44 - Closed
70|3|2022-08-08 11:30:00||22|Active Management|723|723 - Active Management
71|1|2022-11-16 15:53:00|2022-12-15 17:53:00|8|Duplicate/Related To|29|29 - Duplicate/Related To
71|2|2022-12-15 17:53:00|2023-01-01 20:53:00|15|Pending Closure|17|17 - Pending Closure
71|3|2023-01-01 20:53:00||26|Issue Engagement|577|577 - Issue Engagement
72|1|2023-11-14 15:46:00|2023-11-19 22:46:00|1|Pending Closure|5|5 - Pending Closure
72|2|2023-11-19 22:46:00|2023-12-07 05:46:00|2|Issue Engagement|17|17 - Issue Engagement
72|3|2023-12-07 05:46:00||11|Intake|237|237 - Intake
73|1|2022-12-05 09:30:00||5|Active Management|604|604 - Active Management
74|1|2024-06-14 16:48:00|2024-06-17 02:48:00|1|Pending Closure|2|2 - Pending Closure
74|2|2024-06-17 02:48:00|2024-06-22 03:48:00|13|Monitored|5|5 - Monitored
74|3|2024-06-22 03:48:00|2024-07-23 06:48:00|23|Intake|31|31 - Intake
74|4|2024-07-23 06:48:00||26|Issue Engagement|8|8 - Issue Engagement
75|1|2022-11-24 08:11:00|2022-11-27 12:11:00|8|Intake|3|3 - Intake
75|2|2022-11-27 12:11:00|2022-12-29 17:11:00|9|Deleted/Error|32|32 - Deleted/Error
75|3|2022-12-29 17:11:00||17|Monitored|580|580 - Monitored
76|1|2023-09-06 11:59:00|2023-09-26 19:59:00|3|Duplicate/Related To|20|20 - Duplicate/Related To
76|2|2023-09-26 19:59:00|2023-10-26 02:59:00|13|Closed|29|29 - Closed
76|3|2023-10-26 02:59:00|2023-11-25 04:59:00|24|Issue Engagement|30|30 - Issue Engagement
76|4|2023-11-25 04:59:00||34|Pending Closure|249|249 - Pending Closure
77|1|2024-04-23 13:54:00||5|Intake|99|99 - Intake
78|1|2023-10-23 11:59:00|2023-11-08 11:59:00|2|Monitored|16|16 - Monitored
78|2|2023-11-08 11:59:00||13|Intake|266|266 - Intake
79|1|2023-09-08 13:05:00|2023-10-06 16:05:00|8|Issue Engagement|28|28 - Issue Engagement
79|2|2023-10-06 16:05:00|2023-11-14 23:05:00|12|Duplicate/Related To|39|39 - Duplicate/Related To
79|3|2023-11-14 23:05:00||13|Pending Closure|260|260 - Pending Closure
80|1|2022-07-20 14:28:00|2022-08-19 00:28:00|2|Intake|29|29 - Intake
80|2|2022-08-19 00:28:00||6|Closed|712|712 - Closed
81|1|2022-06-05 12:00:00|2022-06-12 23:00:00|2|Closed|7|7 - Closed
81|2|2022-06-12 23:00:00||7|Issue Engagement|780|780 - Issue Engagement
82|1|2024-07-27 14:35:00|2024-07-30 15:35:00|7|Active Management|3|3 - Active Management
82|2|2024-07-30 15:35:00||15|Duplicate/Related To|1|1 - Duplicate/Related To
83|1|2023-02-16 12:38:00|2023-03-27 19:38:00|2|Intake|39|39 - Intake
83|2|2023-03-27 19:38:00|2023-04-13 22:38:00|12|Duplicate/Related To|17|17 - Duplicate/Related To
83|3|2023-04-13 22:38:00||20|Pending Closure|475|475 - Pending Closure
84|1|2023-10-15 11:21:00|2023-11-06 16:21:00|8|Monitored|22|22 - Monitored
84|2|2023-11-06 16:21:00||16|Deleted/Error|268|268 - Deleted/Error
85|1|2023-05-22 15:49:00|2023-07-02 01:49:00|3|Issue Engagement|40|40 - Issue Engagement
85|2|2023-07-02 01:49:00|2023-07-23 07:49:00|13|Deleted/Error|21|21 - Deleted/Error
85|3|2023-07-23 07:49:00||19|Intake|374|374 - Intake
86|1|2024-01-25 10:52:00|2024-03-07 17:52:00|4|Closed|42|42 - Closed
86|2|2024-03-07 17:52:00||15|Deleted/Error|146|146 - Deleted/Error
87|1|2023-04-07 15:25:00||2|Duplicate/Related To|481|481 - Duplicate/Related To
88|1|2023-07-28 08:51:00|2023-07-31 20:51:00|2|Intake|3|3 - Intake
88|2|2023-07-31 20:51:00||6|Deleted/Error|366|366 - Deleted/Error
89|1|2022-05-12 11:21:00|2022-05-22 15:21:00|3|Pending Closure|10|10 - Pending Closure
89|2|2022-05-22 15:21:00||8|Intake|801|801 - Intake
90|1|2022-10-24 09:25:00|2022-12-02 15:25:00|8|Closed|39|39 - Closed
90|2|2022-12-02 15:25:00|2022-12-04 03:25:00|10|Closed|1|1 - Closed
90|3|2022-12-04 03:25:00||16|Active Management|605|605 - Active Management
91|1|2023-04-27 11:27:00|2023-05-06 11:27:00|7|Monitored|9|9 - Monitored
91|2|2023-05-06 11:27:00||10|Active Management|452|452 - Active Management
92|1|2022-08-05 16:19:00|2022-09-19 01:19:00|6|Intake|44|44 - Intake
92|2|2022-09-19 01:19:00||18|Pending Closure|681|681 - Pending Closure
93|1|2022-09-21 08:19:00|2022-09-27 19:19:00|1|Issue Engagement|6|6 - Issue Engagement
93|2|2022-09-27 19:19:00||7|Deleted/Error|673|673 - Deleted/Error
94|1|2023-03-08 12:59:00|2023-03-22 20:59:00|3|Closed|14|14 - Closed
94|2|2023-03-22 20:59:00|2023-03-29 07:59:00|6|Monitored|6|6 - Monitored
94|3|2023-03-29 07:59:00|2023-04-15 10:59:00|16|Active Management|17|17 - Active Management
94|4|2023-04-15 10:59:00||17|Intake|473|473 - Intake
95|1|2024-01-25 16:20:00|2024-03-07 03:20:00|8|Closed|41|41 - Closed
95|2|2024-03-07 03:20:00|2024-03-29 05:20:00|15|Duplicate/Related To|22|22 - Duplicate/Related To
95|3|2024-03-29 05:20:00||22|Monitored|124|124 - Monitored
96|1|2023-08-03 16:17:00|2023-09-17 23:17:00|6|Closed|45|45 - Closed
96|2|2023-09-17 23:17:00||13|Duplicate/Related To|318|318 - Duplicate/Related To
97|1|2024-06-21 08:07:00|2024-07-16 18:07:00|8|Monitored|25|25 - Monitored
97|2|2024-07-16 18:07:00||15|Issue Engagement|15|15 - Issue Engagement
98|1|2023-02-19 12:06:00|2023-03-05 13:06:00|7|Deleted/Error|14|14 - Deleted/Error
98|2|2023-03-05 13:06:00||17|Intake|514|514 - Intake
99|1|2024-01-18 09:34:00|2024-02-24 09:34:00|1|Pending Closure|37|37 - Pending Closure
99|2|2024-02-24 09:34:00||7|Active Management|158|158 - Active Management
100|1|2024-05-04 15:28:00|2024-06-05 18:28:00|6|Issue Engagement|32|32 - Issue Engagement
100|2|2024-06-05 18:28:00|2024-07-18 23:28:00|18|Monitored|43|43 - Monitored
100|3|2024-07-18 23:28:00|2024-07-31 23:59:59|24|Intake|13|13 - Intake
100|4|2024-07-31 23:59:59||26|Pending Closure|0|0 - Pending Closure
101|1|2023-06-08 09:51:00|2023-06-22 16:51:00|1|Intake|14|14 - Intake
101|2|2023-06-22 16:51:00||8|Pending Closure|405|405 - Pending Closure
102|1|2023-05-16 10:54:00|2023-06-29 14:54:00|6|Issue Engagement|44|44 - Issue Engagement
102|2|2023-06-29 14:54:00||16|Pending Closure|398|398 - Pending Closure
103|1|2024-03-21 09:32:00|2024-04-04 21:32:00|8|Intake|14|14 - Intake
103|2|2024-04-04 21:32:00||19|Pending Closure|118|118 - Pending Closure
104|1|2023-05-29 11:49:00|2023-07-12 14:49:00|6|Issue Engagement|44|44 - Issue Engagement
104|2|2023-07-12 14:49:00|2023-08-09 00:49:00|12|Issue Engagement|27|27 - Issue Engagement
104|3|2023-08-09 00:49:00|2023-09-21 09:49:00|16|Intake|43|43 - Intake
104|4|2023-09-21 09:49:00||23|Duplicate/Related To|314|314 - Duplicate/Related To
105|1|2022-10-04 09:57:00|2022-10-09 16:57:00|5|Pending Closure|5|5 - Pending Closure
105|2|2022-10-09 16:57:00|2022-10-23 18:57:00|6|Monitored|14|14 - Monitored
105|3|2022-10-23 18:57:00|2022-10-29 18:57:00|15|Active Management|6|6 - Active Management
105|4|2022-10-29 18:57:00||23|Issue Engagement|641|641 - Issue Engagement
106|1|2023-03-03 09:12:00|2023-03-21 14:12:00|5|Monitored|18|18 - Monitored
106|2|2023-03-21 14:12:00|2023-03-31 22:12:00|14|Closed|10|10 - Closed
106|3|2023-03-31 22:12:00||21|Intake|488|488 - Intake
107|1|2024-01-17 15:45:00|2024-02-21 15:45:00|2|Deleted/Error|35|35 - Deleted/Error
107|2|2024-02-21 15:45:00|2024-03-21 16:45:00|4|Closed|29|29 - Closed
107|3|2024-03-21 16:45:00||5|Pending Closure|132|132 - Pending Closure
108|1|2023-05-09 15:22:00|2023-06-02 20:22:00|7|Active Management|24|24 - Active Management
108|2|2023-06-02 20:22:00|2023-06-23 22:22:00|17|Intake|21|21 - Intake
108|3|2023-06-23 22:22:00|2023-06-29 23:22:00|29|Active Management|6|6 - Active Management
108|4|2023-06-29 23:22:00||40|Duplicate/Related To|398|398 - Duplicate/Related To
109|1|2024-03-09 10:46:00|2024-04-20 15:46:00|4|Deleted/Error|42|42 - Deleted/Error
109|2|2024-04-20 15:46:00||5|Monitored|102|102 - Monitored
110|1|2022-12-31 13:43:00||1|Deleted/Error|578|578 - Deleted/Error
111|1|2024-01-14 14:03:00|2024-02-14 16:03:00|8|Intake|31|31 - Intake
111|2|2024-02-14 16:03:00|2024-03-12 02:03:00|9|Pending Closure|26|26 - Pending Closure
111|3|2024-03-12 02:03:00||21|Active Management|141|141 - Active Management
112|1|2023-03-11 10:08:00|2023-03-23 17:08:00|8|Active Management|12|12 - Active Management
112|2|2023-03-23 17:08:00||17|Deleted/Error|496|496 - Deleted/Error
113|1|2024-01-07 08:39:00|2024-02-13 16:39:00|3|Pending Closure|37|37 - Pending Closure
113|2|2024-02-13 16:39:00|2024-02-22 20:39:00|4|Duplicate/Related To|9|9 - Duplicate/Related To
113|3|2024-02-22 20:39:00|2024-02-24 03:39:00|15|Active Management|1|1 - Active Management
113|4|2024-02-24 03:39:00||22|Issue Engagement|158|158 - Issue Engagement
114|1|2024-02-12 12:59:00|2024-03-09 14:59:00|2|Deleted/Error|26|26 - Deleted/Error
114|2|2024-03-09 14:59:00|2024-04-10 15:59:00|10|Deleted/Error|32|32 - Deleted/Error
114|3|2024-04-10 15:59:00||18|Duplicate/Related To|112|112 - Duplicate/Related To
115|1|2023-07-10 13:54:00||6|Closed|387|387 - Closed
116|1|2023-12-27 11:44:00|2024-02-06 19:44:00|3|Duplicate/Related To|41|41 - Duplicate/Related To
116|2|2024-02-06 19:44:00|2024-02-09 05:44:00|9|Intake|2|2 - Intake
116|3|2024-02-09 05:44:00||17|Active Management|173|173 - Active Management
117|1|2024-06-26 10:40:00|2024-07-09 20:40:00|5|Closed|13|13 - Closed
117|2|2024-07-09 20:40:00||14|Duplicate/Related To|22|22 - Duplicate/Related To
118|1|2024-05-04 16:34:00|2024-06-04 17:34:00|3|Active Management|31|31 - Active Management
118|2|2024-06-04 17:34:00|2024-07-15 21:34:00|11|Active Management|41|41 - Active Management
118|3|2024-07-15 21:34:00||20|Intake|16|16 - Intake
120|1|2024-06-01 08:35:00|2024-06-30 09:35:00|1|Pending Closure|29|29 - Pending Closure
120|2|2024-06-30 09:35:00||6|Intake|31|31 - Intake
121|1|2023-09-23 12:29:00|2023-10-17 18:29:00|3|Closed|24|24 - Closed
121|2|2023-10-17 18:29:00||4|Duplicate/Related To|288|288 - Duplicate/Related To
122|1|2023-10-08 15:11:00|2023-10-20 15:11:00|6|Monitored|12|12 - Monitored
122|2|2023-10-20 15:11:00|2023-11-28 19:11:00|17|Deleted/Error|39|39 - Deleted/Error
122|3|2023-11-28 19:11:00||27|Duplicate/Related To|246|246 - Duplicate/Related To
123|1|2022-09-28 14:43:00||5|Active Management|672|672 - Active Management
124|1|2022-09-01 14:35:00|2022-09-05 00:35:00|3|Active Management|3|3 - Active Management
124|2|2022-09-05 00:35:00||7|Deleted/Error|695|695 - Deleted/Error
125|1|2024-03-27 15:40:00|2024-03-28 21:40:00|5|Monitored|1|1 - Monitored
125|2|2024-03-28 21:40:00|2024-04-28 22:40:00|16|Monitored|31|31 - Monitored
125|3|2024-04-28 22:40:00||25|Deleted/Error|94|94 - Deleted/Error
126|1|2023-11-08 09:54:00|2023-12-15 18:54:00|4|Issue Engagement|37|37 - Issue Engagement
126|2|2023-12-15 18:54:00|2023-12-23 03:54:00|11|Intake|7|7 - Intake
126|3|2023-12-23 03:54:00||20|Pending Closure|221|221 - Pending Closure
127|1|2023-01-28 13:26:00|2023-02-17 15:26:00|6|Closed|20|20 - Closed
127|2|2023-02-17 15:26:00|2023-02-27 21:26:00|8|Intake|10|10 - Intake
127|3|2023-02-27 21:26:00|2023-04-07 01:26:00|12|Intake|38|38 - Intake
127|4|2023-04-07 01:26:00||24|Duplicate/Related To|481|481 - Duplicate/Related To
128|1|2023-01-13 12:41:00||6|Monitored|565|565 - Monitored
129|1|2022-12-10 12:18:00|2022-12-24 14:18:00|2|Issue Engagement|14|14 - Issue Engagement
129|2|2022-12-24 14:18:00|2023-01-07 16:18:00|9|Pending Closure|14|14 - Pending Closure
129|3|2023-01-07 16:18:00||16|Monitored|571|571 - Monitored
130|1|2023-11-09 16:12:00|2023-12-22 03:12:00|3|Monitored|42|42 - Monitored
130|2|2023-12-22 03:12:00|2024-01-06 04:12:00|11|Duplicate/Related To|15|15 - Duplicate/Related To
130|3|2024-01-06 04:12:00|2024-01-21 12:12:00|20|Duplicate/Related To|15|15 - Duplicate/Related To
130|4|2024-01-21 12:12:00||29|Intake|192|192 - Intake
131|1|2023-05-21 10:07:00||5|Closed|437|437 - Closed
132|1|2024-03-01 08:39:00|2024-03-17 19:39:00|4|Active Management|16|16 - Active Management
132|2|2024-03-17 19:39:00|2024-04-21 21:39:00|8|Closed|35|35 - Closed
132|3|2024-04-21 21:39:00||12|Deleted/Error|101|101 - Deleted/Error
133|1|2023-04-07 08:13:00||7|Intake|481|481 - Intake
134|1|2024-04-05 09:55:00||7|Intake|117|117 - Intake
135|1|2024-01-16 10:01:00|2024-02-03 18:01:00|5|Deleted/Error|18|18 - Deleted/Error
135|2|2024-02-03 18:01:00|2024-02-21 00:01:00|14|Monitored|17|17 - Monitored
135|3|2024-02-21 00:01:00||21|Issue Engagement|161|161 - Issue Engagement
136|1|2022-10-23 14:03:00|2022-11-20 15:03:00|2|Deleted/Error|28|28 - Deleted/Error
136|2|2022-11-20 15:03:00||7|Closed|619|619 - Closed
137|1|2022-09-12 10:53:00||8|Duplicate/Related To|688|688 - Duplicate/Related To
138|1|2023-03-29 14:50:00|2023-04-11 23:50:00|5|Pending Closure|13|13 - Pending Closure
138|2|2023-04-11 23:50:00|2023-05-01 23:50:00|11|Pending Closure|20|20 - Pending Closure
138|3|2023-05-01 23:50:00||21|Intake|457|457 - Intake
139|1|2022-07-12 15:49:00|2022-08-25 00:49:00|1|Monitored|43|43 - Monitored
