Id|Array ID|Date In|Date Out|Version Label|Status|Time Open
86|2|2024-02-13 02:37:00|2024-03-09 05:37:00|17|Transfer - Action to Enterprise|25
86|3|2024-03-09 05:37:00||22|Active Plan Development|144
87|1|2023-04-07 08:46:00||4|Non Coordination Team Issue|481
88|1|2023-07-28 13:00:00|2023-09-09 16:00:00|4|Issue on Hold|43
88|2|2023-09-09 16:00:00||5|Transfer - Action to Enterprise|326
89|1|2022-05-12 09:12:00|2022-06-08 16:12:00|6|Informatics Analysis|27
89|2|2022-06-08 16:12:00|2022-06-27 22:12:00|13|Closed|19
89|3|2022-06-27 22:12:00||25|Monitored|765
90|1|2022-10-24 10:23:00|2022-10-30 12:23:00|7|Coordination Team Intake|6
90|2|2022-10-30 12:23:00|2022-11-16 23:23:00|12|Issue Engagement|17
90|3|2022-11-16 23:23:00|2022-12-07 00:23:00|20|Deleted/Error|20
90|4|2022-12-07 00:23:00||31|Sent to Region Hub|602
91|1|2023-04-27 13:51:00|2023-05-09 16:51:00|7|Duplicate/Related To|12
91|2|2023-05-09 16:51:00||18|Pending Pre-Closure|449
92|1|2022-08-05 10:45:00|2022-09-04 10:45:00|1|Pending Closure|30
92|2|2022-09-04 10:45:00|2022-09-15 13:45:00|10|Open|11
92|3|2022-09-15 13:45:00||19|Pending Acceptance|685
93|1|2022-09-21 10:03:00|2022-10-28 21:03:00|8|Active Management|37
93|2|2022-10-28 21:03:00||17|Pending Acceptance|642
94|1|2023-03-08 08:33:00|2023-04-03 17:33:00|4|Issue Engagement|26
94|2|2023-04-03 17:33:00|2023-05-12 03:33:00|11|Council|38
94|3|2023-05-12 03:33:00|2023-05-27 03:33:00|12|Informatics Analysis|15
94|4|2023-05-27 03:33:00||20|Coordinating with Other (Described in Exec Sum)|431
95|1|2024-01-25 15:43:00|2024-02-21 01:43:00|7|Pending Closure|26
95|2|2024-02-21 01:43:00|2024-02-25 10:43:00|15|Pending Closure|4
95|3|2024-02-25 10:43:00||18|Deleted/Error|157
96|1|2023-08-03 11:06:00|2023-08-31 15:06:00|8|Open|28
96|2|2023-08-31 15:06:00|2023-09-25 03:06:00|18|Pending Coordination Team Closure|24
96|3|2023-09-25 03:06:00|2023-10-29 13:06:00|26|System Integration Office Input/Action|34
96|4|2023-10-29 13:06:00||35|Awaiting Information Response|276
97|1|2024-06-21 13:27:00|2024-07-26 21:27:00|4|Closed|35
97|2|2024-07-26 21:27:00||12|Intake|5
98|1|2023-02-19 13:06:00|2023-02-25 21:06:00|5|Non Coordination Team Issue|6
98|2|2023-02-25 21:06:00||10|Solution Implementation|522
99|1|2024-01-18 14:37:00|2024-02-29 22:37:00|5|Duplicate/Related To|42
99|2|2024-02-29 22:37:00|2024-03-23 07:37:00|11|Duplicate/Related To|22
99|3|2024-03-23 07:37:00||13|Transfer - Action to Enterprise|130
100|1|2024-05-04 14:16:00|2024-05-28 02:16:00|2|Active Management|23
100|2|2024-05-28 02:16:00|2024-05-31 13:16:00|6|Council|3
100|3|2024-05-31 13:16:00||16|To Solutioning|61
101|1|2023-06-08 16:45:00|2023-07-13 21:45:00|4|Open|35
101|2|2023-07-13 21:45:00|2023-08-18 21:45:00|10|Active Management|36
101|3|2023-08-18 21:45:00||22|Coordinating with Council|348
102|1|2023-05-16 13:53:00|2023-05-19 01:53:00|7|Informatics Analysis|2
102|2|2023-05-19 01:53:00||14|Pending Acceptance|439
103|1|2024-03-21 16:07:00|2024-04-05 22:07:00|4|Enterprise Input/Action|15
103|2|2024-04-05 22:07:00||12|Intake|117
104|1|2023-05-29 08:47:00|2023-05-30 09:47:00|3|Resolved/Completed|1
104|2|2023-05-30 09:47:00|2023-06-05 12:47:00|6|Council|6
104|3|2023-06-05 12:47:00||10|Coordinating with Enterprise|422
105|1|2022-10-04 12:05:00|2022-10-13 22:05:00|8|Coordination Team Intake|9
105|2|2022-10-13 22:05:00||14|Initial Review|657
106|1|2023-03-03 11:49:00|2023-03-18 19:49:00|4|Coordination Team Intake|15
106|2|2023-03-18 19:49:00||16|Coordinating with System Integration Office|501
107|1|2024-01-17 11:40:00|2024-02-14 15:40:00|3|Informatics Analysis|28
107|2|2024-02-14 15:40:00|2024-03-13 20:40:00|12|Pending Coordination Team Closure|28
107|3|2024-03-13 20:40:00||21|Deleted/Error|140
108|1|2023-05-09 15:19:00|2023-06-17 22:19:00|2|Active Management|39
108|2|2023-06-17 22:19:00||5|Pending Coordination Team Closure|410
109|1|2024-03-09 11:06:00|2024-04-21 13:06:00|3|Informatics Analysis|43
109|2|2024-04-21 13:06:00||6|Pending Implementation|101
110|1|2022-12-31 10:39:00|2023-01-10 12:39:00|1|Active Management|10
110|2|2023-01-10 12:39:00|2023-02-11 14:39:00|3|Active Management|32
110|3|2023-02-11 14:39:00||4|Coordinating with Other (Described in Exec Sum)|536
111|1|2024-01-14 08:51:00|2024-01-20 09:51:00|2|Monitored|6
111|2|2024-01-20 09:51:00|2024-02-16 21:51:00|10|Open|27
111|3|2024-02-16 21:51:00|2024-03-16 05:51:00|14|Non Coordination Team Issue|28
111|4|2024-03-16 05:51:00||17|Project Plan Review|137
112|1|2023-03-11 11:09:00|2023-04-14 19:09:00|3|Monitored|34
112|2|2023-04-14 19:09:00|2023-05-21 04:09:00|10|Non Coordination Team Issue|36
112|3|2023-05-21 04:09:00|2023-06-21 10:09:00|22|Sent to Region Hub|31
112|4|2023-06-21 10:09:00||34|Transfer - Action to Enterprise|406
113|1|2024-01-07 16:24:00|2024-02-07 18:24:00|3|Duplicate/Related To|31
113|2|2024-02-07 18:24:00|2024-03-09 05:24:00|10|Pending Coordination Team Closure|30
113|3|2024-03-09 05:24:00|2024-04-18 11:24:00|13|Active Management|40
113|4|2024-04-18 11:24:00||21|Special Project|104
114|1|2024-02-12 10:04:00|2024-03-07 18:04:00|5|Non Coordination Team Issue|24
114|2|2024-03-07 18:04:00||12|Duplicate/Related To|146
115|1|2023-07-10 15:27:00|2023-07-22 21:27:00|6|Monitored|12
115|2|2023-07-22 21:27:00|2023-09-02 01:27:00|15|Enterprise Input/Action|41
115|3|2023-09-02 01:27:00||16|Active Plan Development|333
116|1|2023-12-27 14:23:00|2023-12-30 18:23:00|6|Intake|3
116|2|2023-12-30 18:23:00|2024-02-06 04:23:00|13|Duplicate/Related To|37
116|3|2024-02-06 04:23:00|2024-03-06 11:23:00|18|Transfer - Action to Enterprise|29
116|4|2024-03-06 11:23:00||25|Project Plan Review|147
117|1|2024-06-26 13:43:00|2024-07-31 23:59:59|8|Coordination Team Intake|35
117|2|2024-07-31 23:59:59||20|Pending Acceptance|0
118|1|2024-05-04 12:45:00|2024-05-17 21:45:00|2|Council|13
118|2|2024-05-17 21:45:00|2024-05-26 21:45:00|4|Intake|9
118|3|2024-05-26 21:45:00||12|Informatics Analysis|66
120|1|2024-06-01 15:56:00||4|Coordinating with Other (Described in Exec Sum)|60
121|1|2023-09-23 14:46:00|2023-10-01 02:46:00|3|Non Coordination Team Issue|7
121|2|2023-10-01 02:46:00|2023-11-11 12:46:00|9|Transfer - Action to Enterprise|41
121|3|2023-11-11 12:46:00||16|Monitored|263
122|1|2023-10-08 10:14:00|2023-10-22 11:14:00|4|Sent to Region Hub|14
122|2|2023-10-22 11:14:00|2023-12-01 18:14:00|5|Informatics Analysis|40
122|3|2023-12-01 18:14:00||11|Resolved - Action to Enterprise to Validate|243
123|1|2022-09-28 08:30:00|2022-10-18 09:30:00|6|Coordination Team Intake|20
123|2|2022-10-18 09:30:00|2022-11-28 11:30:00|7|Deleted/Error|41
123|3|2022-11-28 11:30:00||8|Intake Pending|611
124|1|2022-09-01 09:20:00|2022-10-13 21:20:00|6|Closed|42
124|2|2022-10-13 21:20:00|2022-11-01 08:20:00|13|Monitored|18
124|3|2022-11-01 08:20:00|2022-12-15 13:20:00|20|Closed|44
124|4|2022-12-15 13:20:00||26|Non Coordination Team Issue|594
125|1|2024-03-27 12:07:00|2024-04-05 23:07:00|4|Resolved - Action to Enterprise to Validate|9
125|2|2024-04-05 23:07:00|2024-04-16 09:07:00|10|Sent to Region Hub|10
125|3|2024-04-16 09:07:00||22|Intake Pending|106
126|1|2023-11-08 12:31:00|2023-12-21 13:31:00|7|Resolved/Completed|43
126|2|2023-12-21 13:31:00|2023-12-24 14:31:00|12|Open|3
126|3|2023-12-24 14:31:00||19|Pending Closure|220
127|1|2023-01-28 11:10:00||2|Coordinating with Enterprise|550
128|1|2023-01-13 12:57:00|2023-02-22 19:57:00|1|Intake|40
128|2|2023-02-22 19:57:00|2023-02-26 07:57:00|8|Pending Coordination Team Closure|3
128|3|2023-02-26 07:57:00|2023-04-01 12:57:00|10|Issue Engagement|34
128|4|2023-04-01 12:57:00||12|Deleted/Error|487
129|1|2022-12-10 09:38:00|2022-12-22 12:38:00|7|Issue on Hold|12
129|2|2022-12-22 12:38:00|2023-02-02 22:38:00|12|Open|42
129|3|2023-02-02 22:38:00|2023-03-09 06:38:00|15|Duplicate/Related To|34
129|4|2023-03-09 06:38:00||27|System Integration Office Input/Action|510
130|1|2023-11-09 13:00:00|2023-12-10 15:00:00|3|Issue on Hold|31
130|2|2023-12-10 15:00:00|2024-01-20 15:00:00|14|Coordination Team Intake|41
130|3|2024-01-20 15:00:00||15|Awaiting Information Response|193
131|1|2023-05-21 11:26:00|2023-05-22 12:26:00|7|Active Management|1
131|2|2023-05-22 12:26:00||18|Deleted/Error|436
132|1|2024-03-01 13:10:00|2024-03-02 23:10:00|2|Coordination Team Intake|1
132|2|2024-03-02 23:10:00|2024-03-17 23:10:00|11|Pending Coordination Team Closure|15
132|3|2024-03-17 23:10:00||16|Coordinating with Other (Described in Exec Sum)|136
133|1|2023-04-07 16:21:00||7|Coordination Team Intake|481
134|1|2024-04-05 09:15:00|2024-05-11 17:15:00|7|Archived|36
134|2|2024-05-11 17:15:00|2024-06-14 23:15:00|18|Pending Closure|34
134|3|2024-06-14 23:15:00||23|Pending Implementation|47
135|1|2024-01-16 08:59:00|2024-02-13 13:59:00|8|Council|28
135|2|2024-02-13 13:59:00||20|Coordinating with Council|169
136|1|2022-10-23 09:20:00|2022-11-29 09:20:00|1|Issue on Hold|37
136|2|2022-11-29 09:20:00|2023-01-10 19:20:00|5|Intake|42
136|3|2023-01-10 19:20:00||10|Coordinating with Other (Described in Exec Sum)|568
137|1|2022-09-12 09:24:00|2022-10-01 12:24:00|7|System Integration Office Input/Action|19
137|2|2022-10-01 12:24:00|2022-10-13 14:24:00|18|Transfer - Action to Enterprise|12
137|3|2022-10-13 14:24:00|2022-11-13 23:24:00|22|Sent to Region Hub|31
137|4|2022-11-13 23:24:00||31|Project Plan Review|626
138|1|2023-03-29 11:00:00|2023-05-04 23:00:00|1|Transfer - Action to Enterprise|36
138|2|2023-05-04 23:00:00|2023-05-26 04:00:00|7|Monitored|21
138|3|2023-05-26 04:00:00||15|Solution Implementation|432
139|1|2022-07-12 13:35:00|2022-08-14 01:35:00|1|Resolved/Completed|32
139|2|2022-08-14 01:35:00|2022-09-11 12:35:00|9|Duplicate/Related To|28
139|3|2022-09-11 12:35:00||21|Issue Engagement|689
140|1|2024-07-25 11:13:00||8|Pending Closure|6
141|1|2024-01-26 09:55:00|2024-02-13 20:55:00|6|Archived|18
141|2|2024-02-13 20:55:00|2024-03-26 07:55:00|10|Resolved/Completed|41
141|3|2024-03-26 07:55:00|2024-04-26 17:55:00|16|Issue on Hold|31
141|4|2024-04-26 17:55:00||18|Closed|96
142|1|2023-09-17 14:40:00|2023-10-31 00:40:00|4|Coordination Team Intake|43
142|2|2023-10-31 00:40:00|2023-11-13 06:40:00|10|Issue on Hold|13
142|3|2023-11-13 06:40:00||20|Coordinating with Council|261
143|1|2024-06-25 15:10:00||1|Council|36
144|1|2023-05-05 13:15:00|2023-06-12 01:15:00|5|Issue Engagement|37
144|2|2023-06-12 01:15:00|2023-06-22 07:15:00|10|Informatics Analysis|10
144|3|2023-06-22 07:15:00||22|Initial Review|405
145|1|2023-04-23 16:43:00|2023-04-26 02:43:00|4|Active Management|2
145|2|2023-04-26 02:43:00||10|Deleted/Error|462
146|1|2023-04-15 14:20:00|2023-05-07 16:20:00|2|Monitored|22
146|2|2023-05-07 16:20:00||8|Duplicate/Related To|451
147|1|2022-12-07 08:16:00|2022-12-15 16:16:00|8|Enterprise Input/Action|8
147|2|2022-12-15 16:16:00||15|Duplicate/Related To|594
148|1|2022-05-25 14:24:00|2022-06-03 14:24:00|5|Resolved - Action to Enterprise to Validate|9
148|2|2022-06-03 14:24:00||6|Closed|789
150|1|2023-03-04 11:36:00||5|Initial Review|515
151|1|2022-11-08 12:28:00|2022-11-18 23:28:00|2|Pending Coordination Team Closure|10
151|2|2022-11-18 23:28:00|2022-11-22 02:28:00|6|Active Management|3
151|3|2022-11-22 02:28:00|2022-12-26 11:28:00|15|Pending Coordination Team Closure|34
151|4|2022-12-26 11:28:00||25|Sent to Region Hub|583
152|1|2022-11-07 13:38:00|2022-11-21 15:38:00|7|Transfer - Action to Enterprise|14
152|2|2022-11-21 15:38:00|2022-12-17 18:38:00|12|Pending Coordination Team Closure|26
152|3|2022-12-17 18:38:00||14|Coordination Team Intake|592
154|1|2024-01-24 12:54:00|2024-03-07 15:54:00|2|Non Coordination Team Issue|43
154|2|2024-03-07 15:54:00||4|Coordination Team Intake|146
155|1|2023-08-16 15:26:00|2023-08-31 21:26:00|3|Council|15
155|2|2023-08-31 21:26:00|2023-10-10 02:26:00|12|Council|39
155|3|2023-10-10 02:26:00||14|Active Management|295
156|1|2024-07-25 12:11:00|2024-07-31 23:59:59|3|Monitored|6
156|2|2024-07-31 23:59:59||12|Solution Implementation|0
157|1|2022-11-10 16:15:00|2022-11-12 16:15:00|2|Archived|2
157|2|2022-11-12 16:15:00|2022-11-14 00:15:00|5|System Integration Office Input/Action|1
157|3|2022-11-14 00:15:00||6|Coordinating with Council|625
158|1|2023-07-21 09:36:00||7|Intake Pending|376
159|1|2023-06-01 10:23:00|2023-06-16 12:23:00|5|Active Management|15
159|2|2023-06-16 12:23:00|2023-07-14 20:23:00|10|Archived|28
159|3|2023-07-14 20:23:00|2023-08-22 23:23:00|11|Monitored|39
159|4|2023-08-22 23:23:00||18|Coordinating with Other (Described in Exec Sum)|344
160|1|2023-05-12 16:20:00|2023-06-25 16:20:00|4|Issue on Hold|44
160|2|2023-06-25 16:20:00|2023-07-02 02:20:00|10|Open|6
160|3|2023-07-02 02:20:00|2023-07-03 02:20:00|18|Open|1
160|4|2023-07-03 02:20:00||29|Duplicate/Related To|394
161|1|2022-12-01 08:15:00|2022-12-06 18:15:00|2|Coordination Team Intake|5
161|2|2022-12-06 18:15:00|2022-12-29 01:15:00|14|Transfer - Action to Enterprise|22
161|3|2022-12-29 01:15:00||23|Resolved - Action to Enterprise to Validate|580
162|1|2022-06-20 10:07:00|2022-07-10 16:07:00|5|Pending Closure|20
162|2|2022-07-10 16:07:00|2022-07-28 18:07:00|10|Open|18
